pos_current: [116.38531082403807, 39.90443080913675, 0], speed: 17.18, wheel_angle: -3.799999999999997, steering_wheel_angle: -38
pos_current: [116.38530752535581, 39.904430836192304, 0], speed: 17.18, wheel_angle: -4.199999999999999, steering_wheel_angle: -42
pos_current: [116.38530422475358, 39.904430863279366, 0], speed: 17.19, wheel_angle: -4.199999999999999, steering_wheel_angle: -42
pos_current: [116.38530092607132, 39.90443089033492, 0], speed: 17.18, wheel_angle: -4.199999999999999, steering_wheel_angle: -42
pos_current: [116.3852976254691, 39.90443091742198, 0], speed: 17.19, wheel_angle: -4.199999999999999, steering_wheel_angle: -42
pos_current: [116.3852943229469, 39.904430944540564, 0], speed: 17.20, wheel_angle: -4.199999999999999, steering_wheel_angle: -42
pos_current: [116.38529102041656, 39.90443097036351, 0], speed: 17.20, wheel_angle: -4.0, steering_wheel_angle: -40
pos_current: [116.38528771593761, 39.90443099103386, 0], speed: 17.21, wheel_angle: -3.200000000000003, steering_wheel_angle: -32
pos_current: [116.38528441143886, 39.90443100717608, 0], speed: 17.21, wheel_angle: -2.5, steering_wheel_angle: -25
pos_current: [116.3852811030801, 39.90443101688002, 0], speed: 17.23, wheel_angle: -1.5, steering_wheel_angle: -15
pos_current: [116.38527775630904, 39.90443102018953, 0], speed: 17.43, wheel_angle: -0.5, steering_wheel_angle: -5
pos_current: [116.38527547333574, 39.90443427509305, 0], speed: 17.62, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.3852731787014, 39.90443754662223, 0], speed: 17.71, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38527087629303, 39.90444082923524, 0], speed: 17.77, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38526856999765, 39.90444411739024, 0], speed: 17.80, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38526626370226, 39.9044474055454, 0], speed: 17.80, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38526395870255, 39.904450691853434, 0], speed: 17.79, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38526165240717, 39.90445398000891, 0], speed: 17.80, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38525934611178, 39.90445726816454, 0], speed: 17.80, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38525704111207, 39.904460554473054, 0], speed: 17.79, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38525362330445, 39.904460563448275, 0], speed: 17.80, wheel_angle: -1.2999999999999972, steering_wheel_angle: -13
pos_current: [116.38525020552181, 39.904460580716254, 0], speed: 17.80, wheel_angle: -2.5, steering_wheel_angle: -25
pos_current: [116.3852467896811, 39.90446060280332, 0], speed: 17.79, wheel_angle: -3.200000000000003, steering_wheel_angle: -32
pos_current: [116.3852433719353, 39.90446062768604, 0], speed: 17.80, wheel_angle: -3.6000000000000014, steering_wheel_angle: -36
pos_current: [116.38523994843769, 39.90446065404368, 0], speed: 17.83, wheel_angle: -3.799999999999997, steering_wheel_angle: -38
pos_current: [116.3852365191801, 39.90446068049009, 0], speed: 17.86, wheel_angle: -3.799999999999997, steering_wheel_angle: -38
pos_current: [116.38523308802995, 39.90446071116178, 0], speed: 17.87, wheel_angle: -4.399999999999999, steering_wheel_angle: -44
