pos_current: [116.38556863411142, 39.904406912624765, 0], speed: 11.07, wheel_angle: -0.7000000000000028, steering_wheel_angle: -7
pos_current: [116.38556692167676, 39.904405895799556, 0], speed: 9.80, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38556520924209, 39.90440487897436, 0], speed: 9.80, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.3855670429547, 39.90440488314889, 0], speed: 9.55, wheel_angle: 2.1000000000000014, steering_wheel_angle: 21
pos_current: [116.38556888241409, 39.90440489216509, 0], speed: 9.58, wheel_angle: 4.5, steering_wheel_angle: 45
pos_current: [116.38557072186852, 39.90440490238943, 0], speed: 9.58, wheel_angle: 5.100000000000001, steering_wheel_angle: 51
pos_current: [116.38557256130056, 39.90440491686182, 0], speed: 9.58, wheel_angle: 7.200000000000003, steering_wheel_angle: 72
pos_current: [116.38557442177873, 39.904404940707316, 0], speed: 9.69, wheel_angle: 11.5, steering_wheel_angle: 115
pos_current: [116.38557628225689, 39.90440496455281, 0], speed: 9.69, wheel_angle: 11.5, steering_wheel_angle: 115
pos_current: [116.385578119698, 39.904404987811375, 0], speed: 9.57, wheel_angle: 11.5, steering_wheel_angle: 115
pos_current: [116.3855799571391, 39.90440501106994, 0], speed: 9.57, wheel_angle: 11.5, steering_wheel_angle: 115
pos_current: [116.38558176194417, 39.90440503350955, 0], speed: 9.40, wheel_angle: 11.5, steering_wheel_angle: 115
pos_current: [116.38558356674923, 39.904405055949155, 0], speed: 9.40, wheel_angle: 11.5, steering_wheel_angle: 115
pos_current: [116.38558537156935, 39.90440507678955, 0], speed: 9.40, wheel_angle: 10.700000000000003, steering_wheel_angle: 107
pos_current: [116.38558717065017, 39.90440509512903, 0], speed: 9.37, wheel_angle: 9.5, steering_wheel_angle: 95
pos_current: [116.38558896974995, 39.90440511092162, 0], speed: 9.37, wheel_angle: 8.200000000000003, steering_wheel_angle: 82
pos_current: [116.38559076312467, 39.90440512025708, 0], speed: 9.34, wheel_angle: 4.899999999999999, steering_wheel_angle: 49
pos_current: [116.3855925565038, 39.90440512844483, 0], speed: 9.34, wheel_angle: 4.299999999999997, steering_wheel_angle: 43
pos_current: [116.38559434988788, 39.90440513510505, 0], speed: 9.34, wheel_angle: 3.5, steering_wheel_angle: 35
pos_current: [116.3855929375373, 39.90440375610614, 0], speed: 9.19, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38559117294703, 39.90440375886678, 0], speed: 9.19, wheel_angle: -1.5, steering_wheel_angle: -15
pos_current: [116.38558942563827, 39.90440376193472, 0], speed: 9.10, wheel_angle: -1.7000000000000028, steering_wheel_angle: -17
pos_current: [116.38558767832905, 39.90440376464154, 0], speed: 9.10, wheel_angle: -1.5, steering_wheel_angle: -15
pos_current: [116.38558593678017, 39.90440376733055, 0], speed: 9.07, wheel_angle: -1.5, steering_wheel_angle: -15
pos_current: [116.38558453266621, 39.90440242428327, 0], speed: 9.07, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38558627229209, 39.90440242875689, 0], speed: 9.06, wheel_angle: 2.5, steering_wheel_angle: 25
pos_current: [116.38558801191147, 39.904402435742085, 0], speed: 9.06, wheel_angle: 3.8999999999999986, steering_wheel_angle: 39
pos_current: [116.38558975345093, 39.90440244274271, 0], speed: 9.07, wheel_angle: 3.8999999999999986, steering_wheel_angle: 39
pos_current: [116.38559149499255, 39.90440244902343, 0], speed: 9.07, wheel_angle: 3.5, steering_wheel_angle: 35
pos_current: [116.38559323653418, 39.90440245530415, 0], speed: 9.07, wheel_angle: 3.5, steering_wheel_angle: 35
pos_current: [116.3855949780758, 39.90440246158487, 0], speed: 9.07, wheel_angle: 3.5, steering_wheel_angle: 35
pos_current: [116.38559671961742, 39.904402467865594, 0], speed: 9.07, wheel_angle: 3.5, steering_wheel_angle: 35
pos_current: [116.38559846115905, 39.904402474146316, 0], speed: 9.07, wheel_angle: 3.5, steering_wheel_angle: 35
pos_current: [116.38560020270067, 39.90440248042704, 0], speed: 9.07, wheel_angle: 3.5, steering_wheel_angle: 35
pos_current: [116.3856019442423, 39.90440248670776, 0], speed: 9.07, wheel_angle: 3.5, steering_wheel_angle: 35
pos_current: [116.38560368578392, 39.90440249298848, 0], speed: 9.07, wheel_angle: 3.5, steering_wheel_angle: 35
pos_current: [116.38560536396334, 39.90440249848647, 0], speed: 8.74, wheel_angle: 3.299999999999997, steering_wheel_angle: 33
pos_current: [116.38560704214359, 39.90440250365058, 0], speed: 8.74, wheel_angle: 3.1000000000000014, steering_wheel_angle: 31
pos_current: [116.38560872032461, 39.904402508480935, 0], speed: 8.74, wheel_angle: 2.8999999999999986, steering_wheel_angle: 29
pos_current: [116.38561012009144, 39.904402511145356, 0], speed: 7.29, wheel_angle: 2.299999999999997, steering_wheel_angle: 23
pos_current: [116.38561151986012, 39.904402511840075, 0], speed: 7.29, wheel_angle: 0.6000000000000014, steering_wheel_angle: 6
pos_current: [116.38561023145851, 39.90440251252675, 0], speed: 6.71, wheel_angle: -0.7000000000000028, steering_wheel_angle: -7
pos_current: [116.3856089430576, 39.9044025141948, 0], speed: 6.71, wheel_angle: -1.7000000000000028, steering_wheel_angle: -17
pos_current: [116.3856076546567, 39.90440251586285, 0], speed: 6.71, wheel_angle: -1.7000000000000028, steering_wheel_angle: -17
pos_current: [116.3856063662556, 39.90440251733456, 0], speed: 6.71, wheel_angle: -1.5, steering_wheel_angle: -15
pos_current: [116.38560519690178, 39.90440251838517, 0], speed: 6.09, wheel_angle: -1.2999999999999972, steering_wheel_angle: -13
pos_current: [116.38560402754764, 39.90440251878919, 0], speed: 6.09, wheel_angle: -0.5, steering_wheel_angle: -5
pos_current: [116.38560313540495, 39.904401533336, 0], speed: 6.09, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38560227695565, 39.90440058510027, 0], speed: 5.86, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38560141850635, 39.90439963686455, 0], speed: 5.86, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38560056005706, 39.90439868862884, 0], speed: 5.86, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38559970160776, 39.904397740393144, 0], speed: 5.86, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38559884315846, 39.90439679215746, 0], speed: 5.86, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38559798470916, 39.9043958439218, 0], speed: 5.86, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38559712625987, 39.904394895686146, 0], speed: 5.86, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38559626781057, 39.90439394745051, 0], speed: 5.86, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38559626781057, 39.90439394745051, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38559626781057, 39.90439394745051, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38559626781057, 39.90439394745051, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38559626781057, 39.90439394745051, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
